Designator,Mid X,Mid Y,Rotation,Layer
C1,143.61441,-91.787295,0.0,top
C2,140.090513,-91.791583,0.0,top
C3,157.5,-98.5,0.0,top
C4,157.55,-100.5,0.0,top
C5,161.5,-101.0,180.0,top
C6,161.5,-103.0,180.0,top
D1,148.5,-90.5,180.0,top
J1,161.55,-91.5,270.0,top
J2,149.0,-87.5,0.0,top
Q1,153.5,-90.5,270.0,top
R1,157.5875,-91.0,0.0,top
R2,157.5,-95.0,0.0,top
R3,154.9125,-84.0,0.0,top
R4,154.9125,-86.95,0.0,top
SW1,138.125,-87.5,270.0,top
U1,145.0635,-102.0,90.0,top
U3,157.75,-103.74,90.0,top
